"artists","Count"
"David Guetta, Kim Petras",442
"Eyal Golan",442
"Jasmin Moallem",442
"Carbonne",440
"Bad Bunny, Luar La L",439
"alyona alyona, Jerry Heil",439
"Fuerza Regida, Manuel Turizo",438
"villemdrillem",437
"Charli xcx",436
"$OHO BANI, Herbert Grönemeyer, Ericson",434
"Ado",434
"KAROL G, Romeo Santos",434
"RIIZE",434
"The La Planta, Luana",434
"shadowraze",434
"Last Child",433
"RAVA",433
"Eladio Carrion, Rauw Alejandro",432
"Sơn Tùng M-TP",431
"Diljit Dosanjh, thiarajxtt",428
"tuki.",426
"Alex Favela, Grupo Marca Registrada, Joaquin Medina",424
"Hard Rico",424
"Oscar Maydon, Junior H",424
"PRO8L3M",424
"Nat King Cole",423
"SDM",423
"AP$ENT",422
"Diljit Dosanjh, Sia, Greg Kurstin",421
"Avvy Sra, Karan Aujla, Jaani",420
"Becky G, Ángela Aguilar, Leonardo Aguilar",420
"Roze Oficial, Peipper",419
"LIT killah, Tiago PZK, Maria Becerra, Duki, Emilia, Rusherking, Big One, FMK",418
"Tyler, The Creator, Kali Uchis",417
"Xavi, Tony Aguirre",414
"El negro tecla",413
"xxanteria, isq",413
"Mora, YOVNGCHIMI",412
"Miguel",410
"Feid, Rema",409
"Anuel AA, Quevedo, Maluma, Mambo Kingz, DJ Luian",408
"James Arthur, Anne-Marie",408
"Bad Bunny, Eladio Carrion",407
"DENNIS, MC Kevin o Chris",407
"Eternxlkz",407
"MORGENSHTERN",406
"Feid, Pirlo",404
"Frank Sinatra, B. Swanson Quartet",404
"Marka Akme, DJ Tao, Lauty Gram, Migrantes, Peipper",404
"Max Korzh",404
"Amo988",403
"Poshlaya Molly",402
"Salastkbron, Omar Varela",402
"Ruger, Bnxn",401
"Tems",401
"Ice Spice, Central Cee",399
"Pritam, Arijit Singh, Shreya Ghoshal, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya",399
"Big One, Emilia, Callejero Fino",398
"Grupo Firme, Gerardo Coronel",398
"Ed Sheeran, Elton John",396
"Adele",395
"rares, Bogdan DLP",394
"Number_i",393
"Aditya Rikhari",392
"PEDRO SAMPAIO",388
"Dj GBR, Mc IG, MC Ryan SP, MC PH, Mc Davi, Mc Luki, Mc Don Juan, Mc Kadu, TrapLaudo, MC GP, MC GH do 7",387
"Manuel",387
"BARBEL, Bombermusik",382
"Jay Chou",382
"Maki",382
"Peer Tasi",381
"Ramy Gamal",381
"Feby Putri, Fiersa Besari",378
"Diljit Dosanjh, Badshah, Raj Ranjodh",377
"Jasleen Royal, Arijit Singh, Harrykahanhai",377
"Orange & Lemons",377
"Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",377
"Vishal Mishra, Rashmeet Kaur",377
"Burna Boy",376
"La Oreja de Van Gogh",376
"Karan Aujla",375
"Aziz Hedra",374
"Robin Zoot",373
"Quavo, Lana Del Rey",372
"Future, Metro Boomin, Travis Scott",371
"The Goo Goo Dolls",370
"Fer Vazquez, Flor Alvarez",369
"Ицык Цыпер, Игорь Цыба",368
"uniqe, nkeeei, ARTEM SHILOVETS",367
"ANNA ASTI",365
"Up Dharma Down",365
"AYLIVA, Apache 207",363
"Anastasia",361
"DESH, Young Fly",361
"Moya Mishel",361
"Grupo Menos É Mais, Matheus Fernandes",360
"SUICIDAL-IDOL",360
"Niklas Dee, Old Jim, Enny-Mae",359
"Proflame",359
"Ryan Castro",359
"Cairokee",357
"HYBS",357
"Zola, Koba LaD",356
"Artigeardit, Lamin",355
